
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
example             : n. 榜样,例子 vt. 把...作为例子
class               : n. 班级,(等)阶级,种类 vt. 分类
function            : n. 功能, 函数, 重大聚会 vi. 运行, 起作用
return              : n. 返回,归还,报答,报告 vt. &vi. 返回,归还,回来 adj. 返回的
import              : n. 进口 vi. 进口,输入 vt. 输入,进口
print               : n. 版,印刷物,印迹 vt. &vi. 印刷,出版,打印 adj. 印刷的
value               : n. 价值, 重要性, 价格, (pl)价值观 vt. 评价, 估价, 重视
method              : n. 方法,办法,条理
object              : n. 物, 物体, 目标, 宾语 v. 反对，提出...作为反对的理由
module              : [计算机] 模块 n. 组件
array               : n. 数组,(陈)排列,大批,一系列 vt. 排列,布署,打扮
string              : n. 线,一串,字串 vt. 串起,成串,收紧, 悬挂；系；扎 vi. 给…装弦 adj. 线的
instance            : n.例子，实例； 情况； 要求，建议； [法]诉讼手续 vt.举…为例
stack               : n. 堆叠,堆 vt. 堆积,成叠放在 vi. 堆成一堆
problem             : adj. 成问题的, 难对付的 n. 问题
chapter             : n. 章,回,篇,牧师的例行会议,地方分会
documentation       : n. 文件
false               : adj. 不真实的,错误的,人造的,假的,虚伪的 adv. 不真诚地,虚伪地
point               : n. 点, 要点, 尖端，细节，目标 vt. &vi. 指出, 瞄准

Chapter-1-page-2.html
result              : n. 结果,成绩,答案 v. 产生,起于,致使
request             : n. 要求, 请求 vt. 请求, 要求
default             : n. 假设值,默认(值),不履行责任,缺席 v. 默认,不履行义务,缺席,拖欠 [计算机] 缺省
number              : n. 号码,数字 v. 编号,加号码,总计 vi. 总计 vt. 编号
format              : n. 设计,版式 n.[计算机]格式,DOS命令 : 格式化(磁盘),用于空盘或使用过的磁盘建立新空盘来存储数据 v. vt.使格式化,设计,安排
create              :vt. 创造, 造成
argument            : n. 辩论,争论,论点(据),理由
attribute           : n. 属性, 特征; 标志, 象征 vt. 归于, 属于
output              : n. 产量,输出,输出功率,输出端 vt. 输出(信息等)
classes             : n. 阶级  名词class的复数形式 n. 长老监督会 名词classis的复数形式
order               : n.命令； 秩序； 规则，制度； 次序 vt.命令； 订购； 整理 vi.下订单
script              : n. 原稿,手稿,脚本 vi. 写剧本
input               : n. 输入
simple              : adj. 简单的,无辜的,天真的,基本的,纯粹的 n. 平民,精神病人,草药
following           : n. 下列各项,部下,党羽 adj. 下列的,其次的 prep. 在（某事）以后
start               : n.开始； 动身； 开动； 起点 vt.& vi.出发，启程 vt.起动； 提出（问题）； 开办； 使开始 vi.起始； 突然出现； 突然跳起； 突然涌出
document            : n. 文件,公文 vt. 记载,用文件等证明 [计算机] 文档
